#FromNodeId	ToNodeId	Weight
85282	26641	0.4
51358	78200	0.73
9836	55109	0.19
73035	49440	0.45
81882	57094	0.78
8845	71803	0.72
37744	16890	0.2
7412	92262	0.33
70403	94823	0.12
76621	95787	0.9
64473	21691	0.73
6233	66079	0.39
60277	4860	0.17
64148	77313	0.33
84072	9724	0.5
17718	12965	0.61
60229	92164	0.1
87282	4648	0.93
15003	65590	0.44
62677	68338	0.43
63569	56536	0.23
75398	92372	0.93
10275	18550	0.4
77849	49580	0.54
86643	19828	0.85
31917	8152	0.51
11681	7810	0.32
7649	51097	0.76
71391	50304	0.22
62083	40840	0.28
86475	82572	0.87
33942	74390	0.81
11090	41492	0.18
99516	63214	0.42
89028	98975	0.38
88157	55667	0.25
95597	74064	0.48
83837	53625	0.86
83045	8394	0.68
87817	96279	0.16
98515	23276	0.1
63930	57057	0.02
86501	20391	0.62
17607	5322	0.07
81968	65258	0.86
37707	89815	0.81
74436	97264	0.07
4148	16057	0.45
69243	60554	0.84
20355	82837	0.43
27195	68280	0.89
83856	86755	0.59
84455	30672	0.99
40813	52276	0.16
36092	58863	0.29
78401	20559	0.35
41877	64598	0.27
10971	40664	0.01
37158	82292	0.13
60770	16574	0.05
38881	77631	0.74
42607	51864	0.38
39679	83342	0.97
68087	2380	0.73
35447	50157	0.4
84179	57507	0.47
76017	63497	0.01
29838	70039	0.41
41809	47795	0.89
3725	85549	0.74
17455	96711	0.58
63420	22095	0.93
42499	26482	0.44
43635	11373	0.25
8372	44523	0.5
37633	49584	0.6
23311	82794	0.83
64148	900	0.14
52880	98215	0.74
58644	31216	0.49
17379	70064	0.76
51227	39646	0.68
54936	53882	0.91
19581	12896	0.59
5649	33712	0.31
68001	84342	0.08
33490	37785	0.39
33731	93962	0.64
64093	80221	0.2
2746	24568	0.27
97016	70173	0.07
29645	30560	0.44
81503	98330	0.76
46900	37468	0.92
17254	29846	0.72
3207	75699	0.92
49503	77001	0.29
70786	5480	0.62
28930	36611	0.86
6890	96297	0.12
58202	3752	0.21
92938	85344	0.81
24238	15252	0.19
41585	67096	0.59
45377	2408	0.97
46157	27347	0.19
47161	79166	0.28
56564	22006	0.65
56623	82740	0.66
47389	4715	0.74
8490	54331	0.04
71039	88401	0.6
7494	83537	0.89
4969	67347	0.74
57837	50757	0.55
59846	31784	0.94
54477	69814	0.82
76577	50604	0.54
13458	22357	0.48
629	2172	0.62
33354	14868	0.08
1656	18691	0.2
59277	95745	0.6
16441	74167	0.4
36413	87804	0.48
21829	85151	0.08
90915	26567	0.66
84022	36517	0.89
22699	55587	0.9
85295	13389	0.08
70727	3507	0.21
90213	91206	0.31
20398	29076	0.46
97884	26299	0.12
72721	52557	0.63
92706	52032	0.3
8774	73978	0.07
9294	40559	0.48
90121	17964	0.74
75243	57473	0.86
31763	15293	0.7
18375	43244	0.75
23969	32166	0.28
79069	58771	0.92
62962	25476	0.78
93329	67592	0.12
96427	18825	0.02
4378	21408	0.2
68023	59221	0.13
63956	4243	0.2
48794	349	0.71
76348	42923	0.91
12679	22312	0.14
45233	11657	0.55
19384	1965	0.64
56281	42187	0.34
93067	86451	0.48
7097	89579	0.58
9890	15597	0.94
90882	96255	0.18
78018	15686	0.69
82398	91071	0.82
38546	62556	0.39
68141	22875	0.64
19659	26816	0.39
17142	85036	0.6
70835	36209	0.44
43637	625	0.33
18949	25143	0.7
30101	71899	0.77
20748	91201	0.68
2547	84182	0.37
17769	86564	1.0
43793	93974	0.65
28119	65250	0.84
80281	46949	0.4
14156	33233	0.14
87251	42207	0.95
66405	45116	0.15
57416	52179	0.68
31349	34255	0.18
86951	52943	0.35
41271	93475	0.18
7577	15803	0.2
93299	78299	0.17
65134	6186	0.33
79795	12250	0.7
97193	97475	0.11
2404	89018	0.98
52446	17043	0.9
45437	62916	0.97
52162	43158	0.99
68542	48186	0.04
33351	46428	0.33
66683	18356	0.14
83917	43972	0.48
68767	84881	0.28
7676	52815	0.86
20431	7741	0.18
70891	43248	0.59
43640	80931	0.54
54173	26570	0.35
79868	61712	0.62
37597	33753	0.62
66071	79006	0.04
5779	20713	0.62
3226	1347	0.38
34423	79391	0.5
73404	11533	0.13
63081	59410	0.24
86730	52662	0.1
75320	52291	0.01
3759	85440	0.28
29389	86858	0.41
39849	88178	0.19
60891	78924	0.15
72802	73536	0.96
41030	66970	0.28
89205	24534	0.17
21956	59679	0.83
73257	32016	0.35
60595	58506	0.16
90744	64126	0.13
34248	33252	0.22
50620	64756	0.3
57777	50874	0.39
76336	95937	0.82
97695	21846	0.01
31529	92891	0.15
79210	23590	0.97
68512	60125	0.66
14724	97457	0.77
70382	78288	0.58
31929	29531	0.63
19190	93338	0.83
49707	86650	0.78
45827	49340	1.0
90747	35344	0.96
27698	49972	0.85
32211	49263	0.06
31493	75632	0.45
35593	73819	0.93
31416	34199	0.2
84097	96937	0.76
24398	90479	0.4
3638	44890	0.52
57876	52352	0.91
15141	59550	0.52
7251	2772	0.34
98153	39433	0.28
6806	49646	0.43
23751	3212	0.59
60442	70316	0.99
25309	45469	0.87
48183	49249	0.44
1809	25101	0.36
26688	41183	0.21
58611	72907	0.75
20206	11130	0.78
13308	56573	0.54
93564	1171	0.2
13031	48054	0.89
92821	69348	0.7
21702	65166	0.38
88280	3306	0.65
20468	51963	0.75
96450	35954	0.21
19457	83804	0.58
87453	43201	0.85
2748	89238	0.8
97870	30336	0.58
71637	89427	0.63
99777	36841	0.76
51232	8339	0.17
11774	40368	0.09
58652	52202	0.25
72118	13619	0.54
50511	71973	0.95
13777	92050	0.55
92039	7271	0.42
18363	47402	0.06
20012	70865	0.92
44233	15784	0.41
1408	47946	0.69
84210	36838	0.66
60102	58848	0.85
88221	94407	0.56
60202	91973	0.85
73996	6395	0.93
50129	55039	0.26
48477	14855	0.56
54256	9125	0.1
22563	95592	0.01
68347	43811	0.81
17635	95025	0.96
91353	75329	0.9
26767	97501	0.34
46725	53812	0.24
76345	34033	0.61
94117	50283	0.15
49355	6290	0.55
1682	56878	0.98
935	93988	0.23
19167	46093	0.33
75493	50691	0.76
41361	10726	0.05
21469	10362	0.7
85022	93659	0.79
96853	68647	0.88
58626	42852	0.15
30276	50572	0.95
66046	84289	0.3
19127	27420	0.12
65993	6629	0.04
23154	55955	0.56
67893	95043	0.86
36112	54492	0.57
31389	38131	0.61
51645	63058	0.42
40717	5227	0.5
95398	21458	0.84
67075	37937	0.17
98986	52411	0.72
74477	87996	0.14
74794	81835	0.15
98956	75865	0.17
46236	18541	0.83
34531	85055	0.55
32303	46746	0.63
55076	98160	0.39
63040	3934	0.79
82727	39856	0.07
27236	46337	0.24
57865	42213	0.28
49650	56778	0.43
62005	30577	0.3
39932	64273	0.31
79476	27422	0.77
84091	1215	0.61
22406	59323	0.25
18231	36708	0.32
36961	28007	0.15
48373	43990	0.14
4283	2252	0.13
32136	70035	0.87
83428	30429	0.72
30101	1760	0.95
22003	45052	1.0
3709	48139	0.31
90853	97277	0.64
51610	50420	0.18
35518	57263	0.61
42597	65998	0.82
3750	42387	0.04
86563	80855	0.43
76095	39149	0.85
2007	49059	0.47
2260	62025	0.88
85615	89389	0.44
19434	82974	0.92
65672	78335	0.64
77807	74418	0.47
7702	89929	0.31
74801	83903	0.38
43161	69294	0.15
65497	65989	0.67
3056	40585	0.25
88715	34354	0.57
96719	78933	0.93
95807	80276	0.34
4473	47655	0.4
80136	25008	0.66
33236	45417	0.31
30755	12031	0.56
67597	94959	0.01
99007	39679	0.82
10769	78517	0.08
45261	88328	0.08
13137	56144	0.51
24867	91267	0.6
27006	42102	0.15
84784	72023	0.41
93035	10534	0.52
67475	45638	0.37
40198	41256	0.92
8592	40981	0.26
73548	54721	0.24
59953	24861	0.18
88707	75870	0.54
88038	42793	0.16
32590	73783	0.34
65007	5597	0.35
24674	78779	0.85
5115	13788	0.93
92599	42658	0.2
22431	69783	0.06
24864	24847	0.08
49524	81288	0.45
39161	31773	0.38
4853	5226	0.12
58663	99846	0.16
93171	88398	0.88
95780	70106	0.33
5556	82930	0.13
57163	54666	0.83
41220	83470	0.55
60991	56348	0.99
96005	10560	0.7
56135	80495	0.23
81682	16327	0.07
52144	52506	0.68
35381	12014	0.4
18278	98489	0.04
78038	46872	0.5
7441	55339	0.13
42230	30977	0.51
37381	53953	0.98
28667	30454	0.15
28239	2285	0.22
81150	77968	0.41
24780	40118	0.8
19081	55381	0.23
24189	56968	0.81
55413	85567	0.62
33636	15680	0.1
23223	37741	0.65
77159	70014	0.36
74343	93504	0.41
56541	6690	0.43
58189	96956	0.57
46613	38130	0.99
31721	62518	0.58
45856	15901	0.35
54785	63795	0.26
75352	40838	0.16
7340	69621	0.24
22263	59646	0.85
67122	28859	0.35
28158	89334	0.85
2355	6425	0.82
94749	89947	0.9
11697	52765	0.91
27957	84699	0.96
45377	31558	0.38
34410	58676	0.36
82853	42690	0.1
96566	99727	0.6
61649	11558	0.4
71247	46138	0.71
16346	46137	0.61
97346	40642	0.91
64739	58353	0.83
70178	9811	0.36
48068	15504	0.41
4197	79348	0.09
64571	6167	0.22
31191	80025	0.83
603	81673	0.28
3608	81251	0.53
77079	16731	0.07
85802	67239	0.75
59815	92254	0.4
16087	86591	0.05
31859	94159	0.86
25391	92138	0.89
35045	67037	0.91
52046	96590	0.53
61879	73505	0.27
65154	54144	0.52
13114	57538	0.43
76981	62438	0.7
43706	39006	0.31
29740	31943	0.75
36442	60981	0.74
34484	17084	0.64
17037	9707	0.9
28609	47603	0.13
41103	12499	0.71
64355	99089	0.35
93385	70017	0.96
13996	27581	0.21
33284	47424	0.22
23255	99173	0.78
53682	35843	0.43
51675	3367	0.89
18595	36813	0.86
49975	87042	0.67
18423	50654	0.93
71395	81225	0.38
98213	45329	0.94
39282	18743	0.11
8788	60500	0.27
40591	56825	0.17
69800	31310	0.4
28814	43267	0.34
76117	59132	0.3
8868	23195	0.58
33933	8907	0.06
43329	65228	0.77
5813	76906	0.89
62013	23881	0.07
44490	40179	0.92
26538	87184	0.8
71406	23196	0.01
23370	18058	0.35
44982	70202	0.1
34044	11043	0.86
27932	26492	0.22
21720	21599	0.27
93098	5477	0.74
72320	92422	0.92
76259	85695	0.85
64516	34698	0.36
23637	92527	0.56
16906	44333	0.24
73278	26901	0.61
37442	98936	0.62
9524	31207	0.6
24834	96041	0.46
14242	43228	0.95
65783	23531	0.14
43886	20918	0.62
43512	75785	0.23
78438	98934	0.14
24230	40757	0.49
87090	88462	0.24
1204	57444	0.56
25934	60890	0.75
28747	44563	0.14
72100	98636	0.55
3620	31815	0.72
59208	81192	0.27
58186	26162	0.66
19101	16690	0.33
11529	82280	0.22
63215	81120	0.75
56555	48458	0.83
61463	74810	0.27
2458	20961	0.84
61405	70308	0.95
67865	72460	0.8
35492	17949	0.57
9106	81846	0.55
17971	9356	0.76
17060	35716	0.93
7303	73030	0.66
5957	59503	0.44
49066	7460	1.0
88142	68932	0.34
13283	12257	0.33
20264	25364	0.47
99663	41487	0.31
93716	90864	0.21
22014	24961	0.77
60497	98391	0.18
87734	42341	0.91
45924	72304	0.29
97411	60866	0.69
1431	9922	0.13
25221	6609	0.21
73458	91220	0.15
21626	32080	0.68
30809	89076	0.24
93190	778	0.29
74271	59997	0.97
13687	13780	0.6
16059	88582	0.88
78529	81891	0.34
53026	12321	0.5
70200	81853	0.19
60271	50078	0.68
68463	10655	0.52
95887	32474	0.66
8833	32432	0.79
17540	78549	0.39
1181	37575	0.44
1235	34266	0.87
6196	78379	0.89
80146	61493	0.12
83614	81392	0.29
92552	70796	1.0
45101	72356	0.53
18918	47841	0.09
64530	68647	0.93
85269	26997	0.64
62581	96073	0.86
91753	75022	0.53
10467	36379	0.37
61874	91593	0.32
65835	51956	0.67
35094	30473	0.14
60601	81023	0.02
67025	94565	0.87
959	24632	0.43
38479	41141	0.61
41394	70176	0.08
7009	84299	0.48
38528	91507	0.94
69221	93717	0.45
4616	45277	0.02
43339	55488	0.01
4503	19716	0.8
4418	33787	0.4
97286	53724	0.21
88205	83980	0.7
87587	91504	1.0
60116	4430	0.17
41802	36879	0.38
96432	89216	0.24
31650	87422	0.42
74375	607	0.71
75136	68527	0.93
14149	81323	0.23
18297	18737	0.31
9284	89328	0.96
39848	1305	0.24
1440	18890	0.11
56196	10011	0.97
94708	5289	0.97
9361	38762	0.9
64071	8537	0.72
7580	54705	0.38
77963	93870	0.26
17098	69552	0.3
75644	17838	0.56
27227	77611	0.88
55715	90616	0.83
86050	97661	0.6
48098	85225	0.41
65222	47405	0.06
69229	58600	0.6
58332	94000	0.16
60284	90792	0.86
82773	3885	0.85
3128	84860	0.72
74827	21609	0.66
39543	62901	1.0
23477	45830	0.24
89203	4614	0.83
15236	36118	0.29
50941	9714	0.64
50802	16251	0.69
65420	8481	0.41
25091	46872	0.02
65588	38980	0.01
36759	31507	0.34
6896	70230	0.68
45976	17707	0.39
81322	49461	0.74
86933	61303	0.89
20585	77353	0.27
16041	84083	0.2
37873	1523	0.22
73490	55217	0.72
38817	83613	0.58
66015	43884	0.08
85721	25574	0.54
17664	17320	0.36
72470	77646	0.08
51582	6228	0.78
13298	46370	0.26
40312	54950	0.26
39356	47005	0.4
43358	62594	0.37
17014	469	0.77
48204	71410	0.47
38040	19204	0.26
63762	99645	0.34
54571	47552	0.43
65264	17439	0.98
15421	28283	0.04
81104	32865	0.31
37854	87735	0.16
27685	93531	0.37
66923	27869	0.93
4257	22583	0.82
31757	96896	0.14
4859	82520	0.99
97658	16241	0.77
88080	42055	0.79
42419	17060	0.4
78012	13144	0.1
53172	34365	0.27
17178	41094	0.94
98087	18554	0.23
36234	89718	0.69
51963	66524	0.29
17803	29263	0.78
88210	91297	0.56
80997	46186	0.91
23208	76249	0.68
28124	8726	0.75
18920	36614	0.28
58892	5473	0.68
143	2083	0.43
85631	66904	0.04
11061	82404	0.23
47211	96368	0.28
7372	41593	0.34
13972	74364	0.65
88982	24561	0.83
66733	4636	1.0
53430	50505	0.49
42309	77960	0.68
82373	51642	0.66
47533	7721	0.69
20806	21865	0.68
19102	39103	0.31
79737	36138	0.29
93044	28600	0.83
43131	65959	0.27
48205	60578	0.87
80222	27953	0.31
35198	63248	0.9
89075	91124	0.66
93911	54139	0.38
95104	91935	0.65
48196	88564	0.46
24227	38269	0.38
8350	71447	0.53
65602	75718	0.59
46661	31443	0.79
55391	61149	0.52
24589	83886	0.11
56652	50007	0.96
64762	94423	0.91
53626	65264	0.89
53465	15955	0.85
74914	31407	0.03
45960	7714	0.36
78371	19078	0.1
92805	94890	0.26
16504	6052	0.99
72341	66259	0.92
61361	94928	0.38
88200	84674	0.95
12925	21282	0.9
38569	48656	0.01
95279	35823	0.91
28297	1493	0.2
75797	99946	0.1
62130	26822	0.33
62319	28174	0.99
21311	62407	0.61
1737	55485	0.83
28055	68443	0.39
95416	3070	0.04
51315	24210	0.74
11487	66141	0.16
94018	90231	0.57
39955	92833	0.55
40814	28902	0.94
9487	6636	0.66
61028	96498	0.57
8279	71673	0.12
82142	97766	0.49
96462	57391	0.36
94020	55598	0.45
27726	35623	0.29
46374	75338	0.96
22904	85509	0.2
98403	98560	0.06
53262	40250	0.67
67191	20005	0.31
95299	14009	0.21
19392	38924	0.8
53985	33967	0.07
58351	82156	0.64
22280	60841	0.16
26948	92714	0.02
83273	82865	0.71
99585	70844	0.39
21077	48512	0.41
48220	759	0.65
87054	47903	0.36
36743	8795	0.71
70477	41799	0.22
27480	75335	0.29
32422	55673	0.04
57017	63753	0.11
33017	73883	0.31
19763	33042	0.97
26544	52241	0.34
1947	96462	0.11
38365	2533	0.27
18171	79410	0.71
26524	22500	0.47
6977	16842	0.37
38695	21333	0.11
87416	40137	0.51
1940	73803	0.89
72627	20148	0.37
13873	28800	0.21
56909	77181	0.78
37324	32936	0.69
36201	62931	0.74
66800	31577	0.83
73186	75439	0.44
23809	58190	0.01
80638	53065	0.5
62470	82282	0.4
19313	59062	0.59
93080	77992	0.61
56706	30497	0.57
35003	69248	0.76
35608	40764	0.3
32928	14939	0.06
34876	87943	0.77
38097	46736	0.2
26064	30402	0.97
82875	99361	0.26
92395	1105	0.17
38509	53184	0.58
6735	69858	0.85
44638	40484	0.68
18511	3933	0.53
85096	28511	0.99
88567	34525	0.97
84016	89797	0.47
29585	87226	0.22
88588	73262	0.96
50554	32930	0.16
20537	44205	0.95
55164	77064	0.42
64347	89125	0.34
2739	6339	0.3
51184	91926	1.0
60285	71342	0.72
41771	6412	0.47
81320	58566	0.61
14596	2129	0.17
60072	23229	0.31
16569	35521	0.36
39782	3797	0.97
57493	35091	0.71
67008	63373	0.81
6428	79063	0.95
57670	85557	0.87
57546	49233	0.59
21717	84395	0.85
60004	19458	0.17
3557	34541	0.04
33878	48904	0.81
68169	45754	0.27
30488	2693	0.87
65986	56887	0.94
29794	54607	0.58
35812	76482	0.81
15802	41667	0.31
52345	39744	0.15
14354	91349	0.35
73727	36740	0.89
68660	5209	0.88
93562	98303	0.81
19204	71477	0.49
52251	46766	0.88
31950	30035	0.32
14627	39298	0.24
66606	43817	0.84
82482	6485	0.67
91077	711	0.06
73623	41188	0.64
54712	62314	0.4
81867	95796	1.0
99522	65892	0.24
21914	39058	0.92
8058	95513	0.44
76259	20319	0.35
65782	57148	0.24
245	6653	0.8
6323	12795	0.54
16691	18469	0.16
73106	98072	0.82
99775	5253	0.75
82473	89869	0.2
54149	6079	0.64
15958	57454	0.53
1403	14943	0.19
38781	19156	0.35
84163	9407	0.66
70624	3	0.15
78426	96742	0.39
49888	94151	0.11
62907	15493	0.51
8823	15032	0.61
1077	24602	0.09
58539	86461	0.07
82700	33723	0.46
71111	78431	0.69
70722	65981	0.62
46860	44067	0.42
78437	56268	0.68
6005	43176	0.73
21493	61966	0.31
82928	3134	0.16
56512	28297	0.38
44698	23730	0.63
82833	60355	0.29
37914	63896	0.23
5075	63094	0.56
42219	22256	0.97
43871	16776	0.13
26364	29773	0.43
5577	11926	0.08
66851	90476	0.75
51190	85757	0.58
53228	38873	0.78
56563	71088	0.53
70352	37013	0.74
30956	83610	0.81
94844	42921	0.46
45751	92536	0.52
45661	76240	0.28
61535	68851	0.1
15395	82	0.13
49181	81629	0.08
17656	26931	0.74
35274	75996	0.26
9515	84578	0.7
3382	62850	0.6
88404	94587	0.64
58200	54826	0.5
82395	41340	0.64
84051	47996	0.08
9663	83478	0.54
63427	82582	0.48
58355	61586	0.34
84224	66328	1.0
8112	68993	0.77
73689	75927	0.65
44114	57610	0.21
13005	40234	0.41
78319	46873	0.97
76647	27858	0.29
96146	74105	0.49
62963	39303	0.9
32096	16770	0.13
52874	66875	0.76
18507	62327	0.95
89998	21785	0.4
62872	27884	0.56
21923	97861	0.53
96507	94594	0.98
93541	80971	0.8
44764	27828	0.66
29216	46991	1.0
32516	6851	0.72
34239	13219	0.97
27753	87897	0.95
39940	36993	0.24
92671	89660	0.23
67801	50113	0.18
93797	81734	0.73
1287	82501	0.3
63768	41159	0.22
36851	53237	0.97
90422	36669	0.11
34587	61916	0.94
77341	34200	0.45
37909	55385	0.59
38936	33366	0.8
50740	69034	0.38
50311	98582	0.1
90239	12971	0.11
79244	13415	0.3
75600	18474	0.38
8003	58404	0.94
77542	9236	0.47
74089	66504	0.65
66463	13720	0.07
9069	64613	0.99
89203	87849	0.55
87947	72092	0.84
81786	50223	0.33
29954	44724	0.18
73610	76264	0.25
20790	54623	0.96
28689	53193	0.78
67902	78239	0.56
91338	78928	0.33
49762	48806	0.11
50133	10244	0.02
8847	4214	0.48
43481	38100	0.76
78631	6439	0.39
19580	97597	0.74
55565	33583	0.42
3257	15682	0.52
20106	82803	0.42
30161	12919	0.48
64871	98392	0.04
35171	58121	0.73
14055	4079	0.88
37568	37104	0.5
35767	83494	0.17
86643	39064	0.16
87323	73706	0.4
52215	78316	0.21
94478	17075	0.65
12522	13522	0.17
77569	16096	0.29
18276	15003	0.84
88723	87798	0.31
50348	62114	0.59
58511	54005	0.61
17514	52595	0.24
68978	91456	0.18
5617	82882	0.81
45257	44211	0.28
67573	46055	0.41
11457	67100	0.32
57597	1642	0.73
68651	52891	0.31
53655	47295	0.98
71884	62370	0.97
4393	59180	0.72
65770	42873	0.91
72275	44922	0.41
41108	10187	0.77
93695	72130	0.38
86279	24523	0.67
51518	9493	0.95
14216	683	1.0
58049	34366	0.31
28669	55615	0.76
66950	53524	0.91
25653	5005	0.26
73482	81746	0.34
70081	36242	0.96
39058	45097	0.52
36088	64823	0.81
56596	14453	0.11
48678	49249	0.95
45928	12235	0.08
10717	7175	0.3
93999	12904	0.03
64401	42679	0.37
27526	74122	0.8
22912	33472	0.25
16991	60922	0.19
51775	59768	0.67
93599	1903	0.3
93187	34252	0.81
51326	25522	0.13
8967	46297	0.51
65465	22266	0.12
39213	10755	0.32
70920	45622	0.08
27123	77066	0.49
91014	18031	0.5
70361	68122	0.43
84455	11274	0.5
86530	89917	0.6
72549	76088	0.35
66456	97598	0.08
84436	86760	0.23
62952	23902	0.15
36559	67164	0.81
49910	21285	0.77
37068	36101	0.61
